effective_date,ticker,selection_rank,selection_score,avg_dollar_volume_60,close,universe_age_days
2021-07-30,C,13,1262166974.2168934,1262166974.2168934,57.56983184814453,1305.0
2021-07-30,INTC,14,1231094649.4362133,1231094649.4362133,49.159950256347656,1305.0
2021-07-30,XOM,15,1190652321.3499134,1190652321.3499134,48.22724533081055,1305.0
2021-07-30,MA,16,1187145911.1881,1187145911.1881,375.9651184082031,1305.0
2021-07-30,ADBE,17,1102527874.9898274,1102527874.9898274,621.6300048828125,1305.0
2021-07-30,UNH,18,1098804267.0305889,1098804267.0305889,379.7527770996094,1305.0
2021-07-30,HD,19,1046724967.7195231,1046724967.7195231,291.95880126953125,1305.0
2021-07-30,PG,20,1029940579.5551935,1029940579.5551935,126.96749114990234,1305.0
2021-07-30,QCOM,21,964484881.96359,964484881.96359,134.96896362304688,1305.0
2021-07-30,T,22,954805585.4815077,954805585.4815077,16.044198989868164,1305.0
2021-07-30,JNJ,23,948233530.7778168,948233530.7778168,150.46841430664062,1305.0
2021-07-30,ORCL,24,941078249.1197968,941078249.1197968,82.02892303466797,1305.0
2021-07-30,GS,25,888403336.3103231,888403336.3103231,333.5743408203125,1305.0
2021-07-30,CVX,26,873864134.1512426,873864134.1512426,83.68579864501953,1305.0
2021-07-30,CSCO,27,847254365.6767654,847254365.6767654,48.5880126953125,1305.0
2021-07-30,CMCSA,28,772265355.2684203,772265355.2684203,48.035404205322266,1305.0
2021-07-30,TMO,29,772009766.1395773,772009766.1395773,533.0443115234375,1305.0
2021-07-30,PFE,30,760975785.3133423,760975785.3133423,33.9842414855957,1305.0
2021-08-31,AMZN,1,11672087396.93451,11672087396.93451,173.5395050048828,1337.0
2021-08-31,AAPL,2,10751379984.20887,10751379984.20887,148.35488891601562,1337.0
2021-08-31,NVDA,3,7065178372.82931,7065178372.82931,22.337779998779297,1337.0
2021-08-31,AMD,4,6377064569.836528,6377064569.836528,110.72000122070312,1337.0
2021-08-31,MSFT,5,6097715539.712169,6097715539.712169,290.89654541015625,1337.0
2021-08-31,META,6,4877436603.911641,4877436603.911641,376.426025390625,1337.0
2021-08-31,GOOGL,7,3240330687.8720603,3240330687.8720603,143.51138305664062,1337.0
2021-08-31,BA,8,2584767582.1250153,2584767582.1250153,219.5,1337.0
2021-08-31,JPM,9,1824768861.9882202,1824768861.9882202,142.50228881835938,1337.0
2021-08-31,NFLX,10,1706133631.7472458,1706133631.7472458,56.91899871826172,1337.0
2021-08-31,CRM,11,1463097169.8464203,1463097169.8464203,262.0856018066406,1337.0
2021-08-31,DIS,12,1452136585.5106354,1452136585.5106354,177.12872314453125,1337.0
2021-08-31,MA,13,1213067010.148112,1213067010.148112,337.2815246582031,1337.0
2021-08-31,C,14,1205844579.910965,1205844579.910965,61.22222900390625,1337.0
2021-08-31,INTC,15,1119156447.39254,1119156447.39254,49.792564392089844,1337.0
2021-08-31,PFE,16,1117066265.8045132,1117066265.8045132,36.57215881347656,1337.0
2021-08-31,UNH,17,1058855032.7290344,1058855032.7290344,383.4837341308594,1337.0
