date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2025-09-08,133937.86932712697,142625.2151147176,142625.2151147176,142625.2151147176,142625.2151147176,118368.17381467027
2025-09-09,135886.97971328557,143808.7741680415,143808.7741680415,143808.7741680415,143808.7741680415,118641.81419935478
2025-09-10,135568.6399946172,143505.75619619663,143505.75619619663,143505.75619619663,143505.75619619663,118984.78577379095
2025-09-11,136140.42733956393,144682.753752466,144682.753752466,144682.753752466,144682.753752466,119973.58673168348
2025-09-12,136091.33450110734,145548.9836483071,145548.9836483071,145548.9836483071,145548.9836483071,119933.42817144291
2025-09-15,138386.05177196232,147888.8918737851,147888.8918737851,147888.8918737851,147888.8918737851,120571.95599849186
2025-09-16,139465.815918089,148850.73069107797,148850.73069107797,148850.73069107797,148850.73069107797,120405.9463785793
2025-09-17,139351.68021126717,149246.52999770196,149246.52999770196,149246.52999770196,149246.52999770196,120256.3540618772
2025-09-18,139396.48653464063,149184.04619450905,149184.04619450905,149184.04619450905,149184.04619450905,120818.237944061
2025-09-19,139639.04005218332,150598.00767257795,150598.00767257795,150598.00767257795,150598.00767257795,121416.64080698782
2025-09-22,138251.2195950427,151349.98977661395,151349.98977661395,151349.98977661395,151349.98977661395,121991.06724005546
2025-09-23,137710.1024703549,151664.07468782974,151664.07468782974,151664.07468782974,151664.07468782974,121327.00636299296
2025-09-24,137272.92051068277,150952.5596960051,150952.5596960051,150952.5596960051,150952.5596960051,120940.98696213047
2025-09-25,137076.25883770807,151771.3717041421,151771.3717041421,151771.3717041421,151771.3717041421,120383.03382580401
2025-09-26,138205.47747992055,152529.8680745492,152529.8680745492,152529.8680745492,152529.8680745492,121072.71734252923
2025-09-29,137307.53031971998,150970.43213667453,150970.43213667453,150970.43213667453,150970.43213667453,121412.978830078
2025-09-30,136096.17261003953,150185.38326133115,150185.38326133115,150185.38326133115,150185.38326133115,121870.32279038621
2025-10-01,136936.9215130622,151113.1697949672,151113.1697949672,151113.1697949672,151113.1697949672,122285.60441040898
2025-10-02,138066.03715882258,152359.17592984054,152359.17592984054,152359.17592984054,152359.17592984054,122426.45053761081
2025-10-03,137925.06724904748,152203.61226098888,152203.61226098888,152203.61226098888,152203.61226098888,122424.63634721513
2025-10-06,137785.51462596096,152049.61260191377,152049.61260191377,152049.61260191377,152049.61260191377,122863.68162168028
2025-10-07,137116.61344223813,151311.464138847,151311.464138847,151311.464138847,151311.464138847,122408.16305047394
2025-10-08,138848.99410355848,153223.18765454358,153223.18765454358,153223.18765454358,153223.18765454358,123138.0947170889
2025-10-09,138456.65065146223,152790.22726636284,152790.22726636284,152790.22726636284,152790.22726636284,122781.35993279892
2025-10-10,132813.81457647932,146563.22262435532,146563.22262435532,146563.22262435532,146563.22262435532,119462.84734046982
2025-10-13,138416.79815240626,152746.2490799829,152746.2490799829,152746.2490799829,152746.2490799829,121295.89635731856
2025-10-14,135873.6707681204,149939.84715429653,149939.84715429653,149939.84715429653,149939.84715429653,121147.71507759092
2025-10-15,137534.1019301822,151772.17267580726,151772.17267580726,151772.17267580726,151772.17267580726,121685.55533767861
2025-10-16,137986.93645363982,152271.88640878868,152271.88640878868,152271.88640878868,152271.88640878868,120856.8510828534
2025-10-17,138712.12768330294,153072.15228457336,153072.15228457336,153072.15228457336,153072.15228457336,121542.87262266879
2025-10-20,140406.01634438348,154941.39895689042,154941.39895689042,154941.39895689042,154941.39895689042,122806.97137375547
2025-10-21,138697.93414272947,153056.4893728986,153056.4893728986,153056.4893728986,153056.4893728986,122805.13478594748
2025-10-22,137890.91753529385,152165.92723465784,152165.92723465784,152165.92723465784,152165.92723465784,122166.68534984154
2025-10-23,138995.69765275315,153385.07853170088,153385.07853170088,153385.07853170088,153385.07853170088,122891.12965044483
2025-10-24,142143.84313181104,156859.13240307226,156859.13240307226,156859.13240307226,156859.13240307226,123895.46321376228
2025-10-27,146024.63876343978,161141.68325014928,161141.68325014928,161141.68325014928,161141.68325014928,125357.14073738789
2025-10-28,148726.22738525874,164122.95094343633,164122.95094343633,164122.95094343633,164122.95094343633,125690.08946982314
2025-10-29,152218.52271068704,167976.78240579527,167976.78240579527,167976.78240579527,167976.78240579527,125750.46169465776
2025-10-30,151715.6992846902,167421.90472262565,167421.90472262565,167421.90472262565,167421.90472262565,124367.44388300365
2025-10-31,150692.91993011357,166293.24322970476,166293.24322970476,166293.24322970476,166293.24322970476,124775.40154920673
2025-11-03,151635.00608186144,167332.85784231298,167332.85784231298,167332.85784231298,167332.85784231298,125009.56649472557
2025-11-04,149140.8950042292,164580.5465839808,164580.5465839808,164580.5465839808,164580.5465839808,123527.7536974489
2025-11-05,150941.6312542472,166567.70212755684,166567.70212755684,166567.70212755684,166567.70212755684,123955.83543859686
2025-11-06,149512.11273703558,164990.1942353859,164990.1942353859,164990.1942353859,164990.1942353859,122625.8658979577
2025-11-07,148118.08407807484,163451.85025106833,163451.85025106833,163451.85025106833,163451.85025106833,122746.59914892084
2025-11-10,151337.22507906432,167004.2493798165,167004.2493798165,167004.2493798165,167004.2493798165,124661.9810533571
2025-11-11,151740.11402259275,167448.84697014664,167448.84697014664,167448.84697014664,167448.84697014664,124947.35768208296
2025-11-12,150500.9280381618,166081.37558256328,166081.37558256328,166081.37558256328,166081.37558256328,125016.87924983908
2025-11-13,146726.9565358006,161916.70771843815,161916.70771843815,161916.70771843815,161916.70771843815,122942.34133365178
2025-11-14,146191.31942324378,161325.61934691697,161325.61934691697,161325.61934691697,161325.61934691697,122922.22845741305
2025-11-17,146402.4968369237,161558.6586763956,161558.6586763956,161558.6586763956,161558.6586763956,121777.0263694815
2025-11-18,144453.06893185774,159407.41833327763,159407.41833327763,159407.41833327763,159407.41833327763,120754.40531902715
2025-11-19,147186.9725133856,162424.34635790158,162424.34635790158,162424.34635790158,162424.34635790158,121220.89862225686
2025-11-20,144742.10790031365,159726.3797516813,159726.3797516813,159726.3797516813,159726.3797516813,119373.21289647488
2025-11-21,146631.56096079914,161811.4364186046,161811.4364186046,161811.4364186046,161811.4364186046,120562.3139124999
2025-11-24,154541.55248775336,170540.3013549714,170540.3013549714,170540.3013549714,170540.3013549714,122336.81609361588
2025-11-25,156579.4861244648,172789.20989090542,172789.20989090542,172789.20989090542,172789.20989090542,123487.50554755914
2025-11-26,157427.05901918493,173724.52686267797,173724.52686267797,173724.52686267797,173724.52686267797,124340.00705294524
2025-11-28,158791.83045726988,175230.58480363278,175230.58480363278,175230.58480363278,175230.58480363278,125018.70463894094
2025-12-01,157321.18605907002,173607.69351764757,173607.69351764757,173607.69351764757,173607.69351764757,124447.94018278316
2025-12-02,156984.40563388192,173236.04825928516,173236.04825928516,173236.04825928516,173236.04825928516,124678.44315139219
2025-12-03,157903.78611830287,174250.60662465068,174250.60662465068,174250.60662465068,174250.60662465068,125110.17567074383
2025-12-04,156998.6359154281,173251.7517155025,173251.7517155025,173251.7517155025,173251.7517155025,125201.6467025467
2025-12-05,157928.88599492586,174278.30493914508,174278.30493914508,174278.30493914508,174278.30493914508,125439.46242626924
2025-12-08,157809.24687623058,174146.28030869656,174146.28030869656,174146.28030869656,174146.28030869656,125062.61476574054
2025-12-09,159413.6455787222,175916.77267021296,175916.77267021296,175916.77267021296,175916.77267021296,124954.6704371965
2025-12-10,161127.11558145325,177807.6278216235,177807.6278216235,177807.6278216235,177807.6278216235,125783.39708943402
2025-12-11,159396.2606672874,175897.58800442307,175897.58800442307,175897.58800442307,175897.58800442307,126076.08647327338
2025-12-12,154237.63652652595,170204.9228190374,170204.9228190374,170204.9228190374,170204.9228190374,124720.5166903838
2025-12-15,151026.970111639,166661.87559885046,166661.87559885046,166661.87559885046,166661.87559885046,124532.08726076636
2025-12-16,150071.7512402529,165607.76871585503,165607.76871585503,165607.76871585503,165607.76871585503,124191.82577321758
2025-12-17,147701.3195404672,162991.94061062834,162991.94061062834,162991.94061062834,162991.94061062834,122825.27005959851
2025-12-18,148626.75171911548,164013.17716539098,164013.17716539098,164013.17716539098,164013.17716539098,123752.75810134012
2025-12-19,150634.435246595,166228.70398190143,166228.70398190143,166228.70398190143,166228.70398190143,124874.38691283374
2025-12-22,151248.17708762048,166905.98279033668,166905.98279033668,166905.98279033668,166905.98279033668,125652.338631404
2025-12-23,153277.92639973084,169145.85972822222,169145.85972822222,169145.85972822222,169145.85972822222,126226.63067999786
2025-12-24,153484.789922404,169374.1385757433,169374.1385757433,169374.1385757433,169374.1385757433,126670.64817999199
2025-12-26,153530.33943254518,169424.4035501855,169424.4035501855,169424.4035501855,169424.4035501855,126657.80326404219
2025-12-29,153745.92847268106,169662.3112150287,169662.3112150287,169662.3112150287,169662.3112150287,126206.43941281611
2025-12-30,153883.30056292025,169813.90460392655,169813.90460392655,169813.90460392655,169813.90460392655,126052.32281883091
2025-12-31,152834.30801884318,168656.31622910936,168656.31622910936,168656.31622910936,168656.31622910936,125118.40671976133
2026-01-02,154698.21836712354,170713.1859018763,170713.1859018763,170713.1859018763,170713.1859018763,125347.75622163729
2026-01-05,156590.95745914205,172801.86878323118,172801.86878323118,172801.86878323118,172801.86878323118,126182.58616872453
2026-01-06,155033.49357707685,171083.17011920724,171083.17011920724,171083.17011920724,171083.17011920724,126933.02266629336
2026-01-07,154660.28672924155,170671.32743176812,170671.32743176812,170671.32743176812,170671.32743176812,126523.86673853263
2026-01-08,156017.0395293152,172168.53661379113,172168.53661379113,172168.53661379113,172168.53661379113,126511.02182258283
2026-01-09,156822.74662114284,173057.6536702217,173057.6536702217,173057.6536702217,173057.6536702217,127347.68835747805
2026-01-12,156490.03670738585,172690.50031863112,172690.50031863112,172690.50031863112,172690.50031863112,127547.67485183844
2026-01-13,156311.8355710813,172493.8511003596,172493.8511003596,172493.8511003596,172493.8511003596,127292.64671676903
2026-01-14,156484.60686320704,172684.5083556434,172684.5083556434,172684.5083556434,172684.5083556434,126666.975004376
2026-01-15,156818.5181980637,173052.98750416766,173052.98750416766,173052.98750416766,173052.98750416766,127011.91755109394
2026-01-16,156956.80162796777,173205.58657819405,173205.58657819405,173205.58657819405,173205.58657819405,126905.49624658575
2026-01-20,153236.5451974961,169100.19458130255,169100.19458130255,169100.19458130255,169100.19458130255,124322.11152052348
2026-01-21,155961.46023741947,172107.20353516983,172107.20353516983,172107.20353516983,172107.20353516983,125756.92334810417
2026-01-22,156755.2204612215,172983.13693684523,172983.13693684523,172983.13693684523,172983.13693684523,126413.77225840847
2026-01-23,156673.0010398727,172892.4058378732,172892.4058378732,172892.4058378732,172892.4058378732,126459.64215878367
2026-01-26,157458.22904289668,173758.92372974366,173758.92372974366,173758.92372974366,173758.92372974366,127101.82076403635
2026-01-27,158528.85439754045,174940.38442869508,174940.38442869508,174940.38442869508,174940.38442869508,127608.22625597143
2026-01-28,159610.44550006773,176133.9460928467,176133.9460928467,176133.9460928467,176133.9460928467,127595.38134002166
2026-01-29,161682.08456493166,178420.04937531904,178420.04937531904,178420.04937531904,178420.04937531904,127342.1785940541
2026-01-30,161467.72867196042,178094.2924931936,178094.2924931936,178094.2924931936,178094.2924931936,126962.37447510278
2026-02-02,160742.4045133513,179911.2490981244,179911.2490981244,179911.2490981244,179911.2490981244,127593.54475221367
2026-02-03,159965.82752631712,180763.15349653177,180763.15349653177,180763.15349653177,180763.15349653177,126514.69499819883
2026-02-04,157947.2759918293,180043.14385168388,180043.14385168388,180043.14385168388,180043.14385168388,125901.86820175557
2026-02-05,155061.77628649876,177854.20041615824,177854.20041615824,177854.20041615824,177854.20041615824,124329.4466730493
2026-02-06,155766.24792733294,175695.6492363633,175695.6492363633,175695.6492363633,175695.6492363633,126714.68149255922
2026-02-09,157182.86526764222,176040.03718825855,176040.03718825855,176040.03718825855,176040.03718825855,127325.67170119447
2026-02-10,155944.6177984083,173837.70460318401,173837.70460318401,173837.70460318401,173837.70460318401,126989.90089481034
2026-02-11,155802.85182343592,173640.80808243147,173640.80808243147,173640.80808243147,173640.80808243147,126960.54908600094
