date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-09-12,111456.14589143672,120522.80660980161,111319.87458879984,115873.98912315354,109705.65712553084,115898.0730324464,108070.46138552978,117547.04142953428,116611.16802163071
2025-09-15,112154.91767558745,121460.36575579148,111552.39916099767,116934.10808143309,110442.3574111769,116703.15855682729,108409.09144439783,118676.66859452229,117232.00807316379
2025-09-16,112258.79384734765,121746.49018799118,112392.05799466072,117630.5517128029,110799.65106236415,116776.62232738637,109109.35523454206,118938.56402484875,117070.59706393992
2025-09-17,112651.03731768798,120889.15063492308,112921.76082693232,116580.6285337679,110002.5443884342,116071.04796399748,109731.35293785956,117938.06764410417,116925.14858436541
2025-09-18,115615.59530494238,121571.10789269656,112764.0450583415,120218.5678297947,113397.76039036491,116644.21311051762,112584.32513223846,121479.42307400185,117471.46779488873
2025-09-19,115200.46237463348,121695.06655225204,112190.06105564647,119684.13221215249,112676.18326927078,116432.24357344437,111658.36024861575,120568.27343733894,118053.29437866347
2025-09-22,114856.0875883628,121893.83293727845,111450.66122237055,118577.03563863509,112827.60898593707,116631.68843096317,110892.95205705718,120500.91033911037,118611.80870051513
2025-09-23,115786.55051955635,121487.16916555613,111349.89254793264,119049.8265631929,112991.01105531759,116566.85898261624,111648.10753238242,121012.51372788133,117966.14288663518
2025-09-24,116517.66295285057,120924.95013240978,111475.78791831568,119903.47418749062,113828.28505027878,116224.17430841041,112599.01283396916,122008.94828849309,117590.81655852222
2025-09-25,117573.47167113872,120428.20314313662,111125.81825926437,120280.25323250184,114775.91657971671,116143.79449632952,113780.77597931106,123267.3240598159,117048.31920878122
2025-09-26,118804.02070988006,120685.89391841195,112020.80112685604,121315.12395535757,115194.89554722751,116131.57014254214,115409.44710119365,124137.11302858945,117718.89789294614
2025-09-29,117976.8992975486,120580.54660498694,111224.3227925611,120505.17221486692,114550.27454704107,115822.17996980864,114030.6589047993,122881.47410006692,118049.7338416953
2025-09-30,117328.37087323726,120819.11811789927,110351.32521611515,120005.46619929446,114811.97720289105,116515.16859944418,113081.45056014054,122625.0463271234,118494.40897699572
2025-10-01,118343.86733402278,120006.54810970006,109398.33987837953,119402.06494808017,115685.16802918511,117065.50706472072,114261.20150565762,124394.26271657764,118898.1869353773
2025-10-02,118758.88457146622,119492.25177563317,108806.67476350786,119026.13807697156,115928.6376316062,117217.12003384688,114632.52568823994,125340.65846388286,119035.13150249876
2025-10-03,118518.60947487272,119997.41731343126,109437.82518303109,119256.73428612997,115963.96895775749,117313.00196824111,114580.80130617201,125433.57657803629,119033.36756675305
2025-10-06,118986.26170082501,120150.45938146689,109831.14622422286,119586.36581681651,116565.13764616818,117902.36356424786,114943.08400266735,125647.88675067745,119460.25090570487
2025-10-07,118540.61811289127,120102.9304218828,109498.62621948241,119263.9162932681,116491.2574910803,117852.84247620897,114579.79060761345,125280.45628876891,119017.35059464243
2025-10-08,118836.30027819246,120255.34873272432,108876.1065319201,119378.94453539603,116804.52156796673,118086.24704219677,115429.11160131937,126409.66463789463,119727.06251998046
2025-10-09,119069.95358189712,119973.96708645503,108350.46534464095,119058.11507499209,115900.56513761902,117892.4078549785,115535.64722888639,126816.51414551157,119380.20959912062
2025-10-10,115894.67345367231,117511.07514831299,106672.49007405629,116596.47749814633,113197.36729774647,114745.85199182924,112625.47515305561,123232.48155502968,116153.62268848204
