date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,benchmark_value
2025-09-12,111399.29830000941,120522.80890451117,111319.87745043995,115873.99216049854,109705.6537945331,115898.07538367923,116607.03977011284
2025-09-15,112097.71139899563,121460.36813852336,111552.4007634629,116934.10886918065,110442.35409736214,116703.16211795398,117227.84689668292
2025-09-16,112201.53458717618,121746.49136700996,112392.0586869801,117630.5525262352,110799.6466183766,116776.6247078425,117066.4416167791
2025-09-17,112593.5792148164,120889.15294816655,112921.76166611261,116580.63044384123,110002.53997641726,116071.05033007068,116920.99829993107
2025-09-18,115556.62391741476,121571.11136308529,112764.04877548742,120218.5709027925,113397.75584217158,116644.21548827461,117467.309006837
2025-09-19,115141.70154850416,121695.06888505077,112190.06162970162,119684.13291223785,112676.17758903292,116432.24594688044,118049.1040504406
2025-09-22,114797.50242071762,121893.83527388738,111450.66179426337,118577.03633397387,112827.6032996936,116631.69080846485,118607.59854770084
2025-09-23,115727.49195086108,121487.17149436966,111349.89336364328,119049.82850537213,112991.00654458602,116566.86135879636,117961.9556518741
2025-09-24,116458.23143793522,120924.95401598755,111475.79312906311,119903.47735963676,113828.28311633055,116224.17817974111,117586.64264605354
2025-09-25,117513.50169511668,120428.2038919575,111125.81855652561,120280.25522152262,114775.91056125403,116143.79536741806,117044.16455237794
2025-09-26,118743.42307529441,120685.89466287101,112020.80142100793,121315.12596149155,115194.88950111081,116131.57100778706,117714.7194342017
2025-09-29,117916.72226548613,120580.54735715048,111224.32220392095,120505.1742076071,114550.2685427322,115822.18084078752,118045.54363985451
2025-09-30,117268.52711149334,120819.1219911158,110351.32840325947,119976.54694196142,114811.97414841886,116515.17247209442,118490.20299131103
2025-10-01,118283.50561462033,120006.54953862984,109398.34212248237,118951.34221574973,115685.16495148244,117065.51095566273,118893.9666175032
2025-10-02,118698.31117101433,119492.25551442703,108806.67781846161,118260.56899345778,115928.63562858714,117217.1239298281,119030.90632374644
2025-10-03,118458.15977836611,119997.42122813531,109437.82865440255,118832.39825541401,115963.96598554928,117313.00602460424,119029.14245061205
